username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Arrelic_;2018-12-16 14:28;0;0;"#machinelearning #artificialintelligence #iiot #internetofthings #reliability #maintcon2018 #arrelic #presenter https:// lnkd.in/f3MuFaz";;;#machinelearning #artificialintelligence #iiot #internetofthings #reliability #maintcon2018 #arrelic #presenter;"1074385844843307009";https://twitter.com/Arrelic_/status/1074385844843307009
wil_bielert;2018-12-11 05:53;2;1;"RT @Arrelic_ : My Presentation in #Maintcon2018 . #machinelearning #artificialintelligence #internetofthings #reliability #arrelic #presenter #iiot https:// lnkd.in/f7rKqJF";;@Arrelic_;#Maintcon2018 #machinelearning #artificialintelligence #internetofthings #reliability #arrelic #presenter #iiot;"1072444194751426560";https://twitter.com/wil_bielert/status/1072444194751426560
Arrelic_;2018-12-11 05:16;1;3;"My Presentation in #Maintcon2018 . #machinelearning #artificialintelligence #internetofthings #reliability #arrelic #presenter #iiot https:// lnkd.in/f7rKqJF";;;#Maintcon2018 #machinelearning #artificialintelligence #internetofthings #reliability #arrelic #presenter #iiot;"1072434831060070400";https://twitter.com/Arrelic_/status/1072434831060070400
FogorosAndrei;2018-11-05 10:01;3;4;"#Adaptation and #innovation are vitally important to the #manufacturing #industry today https:// buff.ly/2MSnV5T #IIoT #BigData #Analytics #SmartNews @GMISummit @Arrelic_ @MFGUSA @ChampionRes @IIoT_World @NewsCoordinator @3dChain @ComportConsult @abbhi @fogoros @PMC_Corp @DynaQuip pic.twitter.com/Jjv9FlDLcv";;@GMISummit @Arrelic_ @MFGUSA @ChampionRes @IIoT_World @NewsCoordinator @3dChain @ComportConsult @abbhi @fogoros @PMC_Corp @DynaQuip;#Adaptation #innovation #manufacturing #industry #IIoT #BigData #Analytics #SmartNews;"1059460640530669568";https://twitter.com/FogorosAndrei/status/1059460640530669568
IIoT_World;2018-10-20 20:24;8;11;"#Adaptation and #innovation are vitally important to the manufacturing #industry today http:// bit.ly/2S0cSX6 #IIoT #BigData #Analytics #SmartNews #Manufacturing @GMISummit @Arrelic_ @MFGUSA @ChampionRes @NewsCoordinator @3dChain @ComportConsult @abbhi @PMC_Corp @DynaQuip pic.twitter.com/o5LGqFOo6v";;@GMISummit @Arrelic_ @MFGUSA @ChampionRes @NewsCoordinator @3dChain @ComportConsult @abbhi @PMC_Corp @DynaQuip;#Adaptation #innovation #industry #IIoT #BigData #Analytics #SmartNews #Manufacturing;"1053804064545406976";https://twitter.com/IIoT_World/status/1053804064545406976
Arrelic_;2018-09-26 01:40;3;1;"In-situ (or on-site) balancing helps to reduces downtime, labour and material costs and can be planned into scheduled short time outages e.g. machine mould or process changes. For more info: pdm@arrelic.com pic.twitter.com/l8COWGMho7";;@arrelic;;"1044823887513616385";https://twitter.com/Arrelic_/status/1044823887513616385
Arrelic_;2018-09-25 04:38;1;2;"Unbalance, is required to be corrected at site. Our expertise at in-situ balancing helps carry out accurate balancing of rotors in the plant without removing. We can achieve accurate results within required tolerance within short period of time. For more info: pdm@arrelic.com pic.twitter.com/xBTBL1ZgDx";;@arrelic;;"1044506296035291136";https://twitter.com/Arrelic_/status/1044506296035291136
Arrelic_;2018-09-25 01:38;1;2;"In-situ (or on-site) #balancing helps check issues due to misalignment and unbalanced machine and its shaft, un-even mass distribution over the whole machine then it produces high vibration during rotation which affects machine construction. For more info: pdm@arrelic.com pic.twitter.com/EviRZlUNpp";;@arrelic;#balancing;"1044460997476581378";https://twitter.com/Arrelic_/status/1044460997476581378
Arrelic_;2018-09-24 04:36;1;3;"Complement your Vibration Analysis System with our Motor Current Signature Analysis ( #MCSA ) to increase reliability and easy fault detection in mechanical systems. For more info pdm@arrelic.com pic.twitter.com/liNFd64qzg";;@arrelic;#MCSA;"1044143407323590656";https://twitter.com/Arrelic_/status/1044143407323590656
Arrelic_;2018-09-23 01:34;2;2;"Bearing faults in the mechanical system run by an induction motor causes change in its stator current spectrum which can be easily detected online through our advanced #MCSA techniques. For more info pdm@arrelic.com pic.twitter.com/LIZSJFlNMy";;@arrelic;#MCSA;"1043735212503564288";https://twitter.com/Arrelic_/status/1043735212503564288
Arrelic_;2018-09-22 04:39;2;2;"In-suit balancing is the procedure that makes correction in unbalanced rotating machine. Because with misalignment, unbalanced causes more premature and catastrophic failures in rotating machinery than any other fault. For more info: pdm@arrelic.com pic.twitter.com/MfCYg6pnCM";;@arrelic;;"1043419383543021568";https://twitter.com/Arrelic_/status/1043419383543021568
Arrelic_;2018-09-22 01:39;2;2;"Detect problems such as high resistance joints, cracked end rings, broken or cracked rotor bars and casting porosity or blow holes in die-cast rotors online and offline with #MCSA . Learn more https:// hubs.ly/H0dMLnT0 pic.twitter.com/W9i4GS3kQB";;;#MCSA;"1043374084074209280";https://twitter.com/Arrelic_/status/1043374084074209280
